president,enddate,Approve,Disapprove
Donald Trump,2/17/2017,41.694156,52.457367
Donald Trump,2/16/2017,37.957442,54.763923
Donald Trump,2/16/2017,37.056827,53.140717
Donald Trump,2/17/2017,43.056827,50.140717
Donald Trump,2/19/2017,39.694156,53.457367
Donald Trump,2/18/2017,44.674548,50.9507
Donald Trump,2/19/2017,41.070846,50.633466
Donald Trump,2/17/2017,39.957442,53.763923
Donald Trump,2/18/2017,41.056827,49.140717
Donald Trump,2/19/2017,45.674548,49.3507
Donald Trump,2/19/2017,39.268893,51.049562
Donald Trump,2/18/2017,40.957442,53.763923
Donald Trump,2/19/2017,41.957442,51.763923
Donald Trump,2/18/2017,41.056827,49.140717
Donald Trump,2/20/2017,45.874548,48.7507
Donald Trump,2/19/2017,38.056827,54.140717
Donald Trump,2/20/2017,40.056827,52.140717
Donald Trump,2/21/2017,39.782305,50.509023
Donald Trump,2/20/2017,40.957442,51.763923
Donald Trump,2/20/2017,44.825675,48.199832
Donald Trump,2/21/2017,45.474548,48.8507
Donald Trump,2/21/2017,41.957442,50.763923
Donald Trump,2/22/2017,43.056827,48.140717
Donald Trump,2/22/2017,43.194628,48.957609
Donald Trump,2/22/2017,46.374548,45.9507
Donald Trump,2/23/2017,40.694156,53.457367
Donald Trump,2/22/2017,42.056827,48.140717
Donald Trump,2/22/2017,42.957442,50.763923
Donald Trump,2/23/2017,46.174548,46.1507
Donald Trump,2/23/2017,42.957442,50.763923
Donald Trump,2/24/2017,45.474548,46.8507
Donald Trump,2/25/2017,45.474548,46.7507
Donald Trump,2/24/2017,40.957442,51.763923
Donald Trump,2/24/2017,40.056827,52.140717
Donald Trump,2/25/2017,40.957442,52.763923
Donald Trump,2/26/2017,45.974548,47.0507
Donald Trump,2/25/2017,40.056827,52.140717
Donald Trump,2/26/2017,42.056827,52.140717
Donald Trump,2/27/2017,46.474548,47.1507
Donald Trump,2/26/2017,41.957442,52.763923
Donald Trump,2/27/2017,41.957442,52.763923
Donald Trump,2/28/2017,46.474548,47.2507
Donald Trump,2/27/2017,41.056827,51.140717
Donald Trump,3/1/2017,46.074548,48.0507
Donald Trump,3/2/2017,41.694156,52.457367
Donald Trump,2/28/2017,42.056827,49.140717
