enddate,approval_type,rate,year
2017-03-25,approve,40.861441,2017
2017-03-25,disapprove,52.539189,2017
2017-03-26,approve,45.551563,2017
2017-03-26,disapprove,48.380389,2017
2017-03-27,approve,38.404286,2017
2017-03-27,disapprove,48.081642,2017
2017-03-26,approve,36.861441,2017
2017-03-26,disapprove,55.539189,2017
2017-03-27,approve,38.05001,2017
2017-03-27,disapprove,51.794843,2017
2017-03-27,approve,45.851563,2017
2017-03-27,disapprove,47.480389,2017
2017-03-26,approve,39.948636,2017
2017-03-26,disapprove,52.76658,2017
2017-03-25,approve,44.686784,2017
2017-03-25,disapprove,51.055805,2017
2017-03-27,approve,44.08833,2017
2017-03-27,disapprove,53.353891,2017
2017-03-27,approve,39.608387,2017
2017-03-27,disapprove,56.626013,2017
2017-03-27,approve,41.948636,2017
2017-03-27,disapprove,49.76658,2017
2017-03-28,approve,44.751563,2017
2017-03-28,disapprove,47.780389,2017
2017-03-27,approve,36.861441,2017
2017-03-27,disapprove,54.539189,2017
2017-03-28,approve,38.608387,2017
2017-03-28,disapprove,57.626013,2017
2017-03-30,approve,35.539711,2017
2017-03-30,disapprove,55.592009,2017
2017-03-28,approve,41.948636,2017
2017-03-28,disapprove,48.76658,2017
2017-03-28,approve,41.37161,2017
2017-03-28,disapprove,51.419838,2017
2017-03-28,approve,37.948636,2017
2017-03-28,disapprove,54.76658,2017
2017-03-28,approve,35.861441,2017
2017-03-28,disapprove,57.539189,2017
2017-03-29,approve,46.351563,2017
2017-03-29,disapprove,45.680389,2017
2017-03-30,approve,41.613321,2017
2017-03-30,disapprove,55.248116,2017
2017-03-29,approve,37.948636,2017
2017-03-29,disapprove,53.76658,2017
2017-03-29,approve,38.861441,2017
2017-03-29,disapprove,55.539189,2017
2017-03-28,approve,39.608485,2017
2017-03-28,disapprove,53.209337,2017
2017-03-29,approve,34.914807,2017
2017-03-29,disapprove,60.031268,2017
2017-03-29,approve,36.743003,2017
2017-03-29,disapprove,54.945964,2017
2017-03-30,approve,46.851563,2017
2017-03-30,disapprove,45.080389,2017
2017-03-29,approve,38.608387,2017
2017-03-29,disapprove,57.626013,2017
2017-03-30,approve,38.861441,2017
2017-03-30,disapprove,54.539189,2017
2017-03-31,approve,48.551563,2017
2017-03-31,disapprove,44.480389,2017
